1 B A 3.2 1500
2 A I 10.0 2500
3 I A 8.5 2500
4 C B 1.1 1600
5 B C 1.5 1300
6 B J 12.0 2400
7 J B 10.0 2350
8 D C 2.5 1550
9 C F 4.2 1700
10 E D 3.5 1800
11 G D 5.1 1650
12 E H 6.8 2000
13 H E 5.5 2150
14 F G 3.0 1500
15 F K 5.9 1650
16 G H 3.5 1600
17 H L 3.7 2100
18 L H 6.0 2050
19 I J 1.1 2350
20 J I 2.4 2500
21 I M 5.4 2050
22 M I 4.0 2300
23 J K 3.5 2000
24 K J 3.9 2050
25 J N 5.1 2700
26 N J 6.2 2500
27 K L 5.1 2400
28 L K 6.2 2550
29 L O 5.7 1900
30 O L 6.8 1950
31 M N 3.4 2050
32 N M 3.0 2500
33 N O 10.3 2050
34 O N 8.7 1800
35 N P 1.4 1750
36 O Q 2.1 1600
37 Q O 1.5 1950
38 P Q 7.8 1400
39 Q P 5.9 1550
